Talasna duzina_Ljubicasta [nm]	 Intenzitet svetlosti_Ljubicasta [cd]
177.812	53.86000061
178.410	56
179.008	43.04000092
179.607	65.33999634
180.205	48.93999863
180.803	68.94000244
181.401	61.65999985
182.000	66.01999664
182.598	48.11999893
183.196	58.63999939
183.794	52.74000168
184.392	57.95999908
184.990	55.02000046
185.588	59.79999924
186.186	62.09999847
186.784	48.88000107
187.382	48.43999863
187.980	65.77999878
188.578	56.59999847
189.176	69.41999817
189.774	47.52000046
190.371	56.38000107
190.969	56.22000122
191.567	60.09999847
192.165	60.41999817
192.763	63.86000061
193.360	54.52000046
193.958	58.72000122
194.556	46.29999924
195.153	57.25999832
195.751	49.47999954
196.349	59.52000046
196.946	52.70000076
197.544	61.02000046
198.141	48.52000046
198.739	50.79999924
199.336	52.11999893
199.934	49.08000183
200.531	49.70000076
201.128	52.5
201.726	57.38000107
202.323	48.72000122
202.920	42.27999878
203.518	59.72000122
204.115	42.22000122
204.712	60.75999832
205.310	47.13999939
205.907	49.13999939
206.504	44
207.101	38.52000046
207.698	33.13999939
208.295	54.68000031
208.892	50.38000107
209.489	44.63999939
210.087	44.81999969
210.684	48.04000092
211.280	39.81999969
211.877	43.20000076
212.474	39.59999847
213.071	48.22000122
213.668	40.40000153
214.265	43.43999863
214.862	37.56000137
215.459	56.95999908
216.055	38.20000076
216.652	43.11999893
217.249	43.88000107
217.846	54.74000168
218.442	55.52000046
219.039	44.77999878
219.636	43.06000137
220.232	43.79999924
220.829	48.77999878
221.425	37.09999847
222.022	48
222.618	54.20000076
223.215	42.91999817
223.811	37.88000107
224.408	47.08000183
225.004	46.56000137
225.601	39.65999985
226.197	47.38000107
226.793	49.25999832
227.390	37.5
227.986	43.91999817
228.582	49.77999878
229.178	54.81999969
229.774	54.97999954
230.371	52.5
230.967	39.79999924
231.563	37.81999969
232.159	48.56000137
232.755	55.54000092
233.351	46.34000015
233.947	42.61999893
234.543	42.38000107
235.139	38.93999863
235.735	37.63999939
236.331	46.24000168
236.927	43.41999817
237.523	38.77999878
238.119	45.70000076
238.714	45.56000137
239.310	48.79999924
239.906	49.79999924
240.502	45.02000046
241.097	39.72000122
241.693	38.86000061
242.289	39.5
242.884	49.43999863
243.480	42.90000153
244.076	49.95999908
244.671	51.81999969
245.267	45.04000092
245.862	49.88000107
246.458	45.77999878
247.053	44.75999832
247.648	39.61999893
248.244	49.22000122
248.839	42.79999924
249.435	44.95999908
250.030	46.81999969
250.625	44.63999939
251.220	39.04000092
251.816	45
252.411	45.47999954
253.006	35.56000137
253.601	49.47999954
254.196	45.38000107
254.791	45.59999847
255.387	52.22000122
255.982	48.22000122
256.577	42.18000031
257.172	43.27999878
257.767	42.91999817
258.362	52.72000122
258.956	45.77999878
259.551	55.29999924
260.146	44.25999832
260.741	55.40000153
261.336	51.06000137
261.931	57.97999954
262.525	53.72000122
263.120	42.45999908
263.715	52.61999893
264.310	41.29999924
264.904	47.20000076
265.499	53.54000092
266.093	52.41999817
266.688	49.06000137
267.282	36.24000168
267.877	49.29999924
268.471	29.84000015
269.066	39.18000031
269.660	30.84000015
270.255	35.43999863
270.849	29.55999947
271.443	28
272.038	26.76000023
272.632	48.36000061
273.226	47
273.821	60.84000015
274.415	73.62000275
275.009	82.81999969
275.603	69.58000183
276.197	65.98000336
276.791	54.97999954
277.385	55.59999847
277.979	47.11999893
278.574	48.29999924
279.168	48.93999863
279.761	53.52000046
280.355	57.20000076
280.949	47.77999878
281.543	51.75999832
282.137	52.88000107
282.731	51.08000183
283.325	48.13999939
283.918	51.95999908
284.512	49.65999985
285.106	34.97999954
285.700	35.22000122
286.293	50.29999924
286.887	36.18000031
287.480	37.63999939
288.074	46.27999878
288.668	49.08000183
289.261	39.70000076
289.855	53.41999817
290.448	63.56000137
291.042	49.36000061
291.635	63.34000015
292.228	62
292.822	62.09999847
293.415	55.79999924
294.008	53.09999847
294.602	48.70000076
295.195	58.5
295.788	59
296.381	62.24000168
296.974	44.54000092
297.567	58.72000122
298.160	46.5
298.754	58.91999817
299.347	45.77999878
299.940	48.74000168
300.533	54.75999832
301.126	54.84000015
301.718	48.56000137
302.311	57
302.904	47.84000015
303.497	55.34000015
304.090	42.04000092
304.683	61.29999924
305.275	45.09999847
305.868	47.11999893
306.461	50.84000015
307.053	57.59999847
307.646	43.70000076
308.239	54.43999863
308.831	51.24000168
309.424	46.36000061
310.016	46.13999939
310.609	57.5
311.201	44.15999985
311.794	49.88000107
312.386	46.63999939
312.979	48.41999817
313.571	46.93999863
314.163	48.40000153
314.756	41.84000015
315.348	49.18000031
315.940	46.97999954
316.532	47.91999817
317.124	54.13999939
317.717	60.59999847
318.309	45.13999939
318.901	48.41999817
319.493	49.59999847
320.085	44.68000031
320.677	45.91999817
321.269	48.02000046
321.861	50.09999847
322.453	46.68000031
323.045	45.95999908
323.636	51.52000046
324.228	48.90000153
324.820	45.95999908
325.412	54.43999863
326.003	53.43999863
326.595	50.11999893
327.187	47.5
327.779	53.40000153
328.370	68.13999939
328.962	35.75999832
329.553	50.81999969
330.145	39.38000107
330.736	59.40000153
331.328	44.79999924
331.919	45.97999954
332.511	50.77999878
333.102	60.79999924
333.693	47.75999832
334.285	54.91999817
334.876	56.31999969
335.467	54.54000092
336.058	43
336.650	51.95999908
337.241	52.52000046
337.832	52.93999863
338.423	45.29999924
339.014	46.56000137
339.605	40.77999878
340.196	62.15999985
340.787	49.5
341.378	48.56000137
341.969	47.43999863
342.560	42.04000092
343.151	47.13999939
343.742	46.41999817
344.332	51.47999954
344.923	52.74000168
345.514	44.15999985
346.105	50.97999954
346.695	44.68000031
347.286	35.84000015
347.877	33.74000168
348.467	44.27999878
349.058	37.54000092
349.648	53.02000046
350.239	44.88000107
350.829	51.95999908
351.420	35.20000076
352.010	49.13999939
352.601	53.90000153
353.191	39.24000168
353.781	44.15999985
354.371	60.40000153
354.962	37.70000076
355.552	43.95999908
356.142	44.88000107
356.732	45.31999969
357.322	40.97999954
357.913	45.22000122
358.503	40.15999985
359.093	50.75999832
359.683	38.52000046
360.273	48.70000076
360.863	54.58000183
361.453	45.90000153
362.042	37.11999893
362.632	43.86000061
363.222	46.61999893
363.812	44.40000153
364.402	35.84000015
364.991	52.20000076
365.581	41.27999878
366.171	44.77999878
366.760	46.08000183
367.350	35.27999878
367.940	40.24000168
368.529	37.81999969
369.119	51.81999969
369.708	57.59999847
370.298	43.68000031
370.887	47.08000183
371.476	44.81999969
372.066	42.72000122
372.655	32.31999969
373.244	51.47999954
373.834	44.68000031
374.423	64
375.012	39.27999878
375.601	52.90000153
376.190	35.77999878
376.779	48.70000076
377.368	34.63999939
377.957	47.04000092
378.546	42.86000061
379.135	42.79999924
379.724	59.29999924
380.313	51.22000122
380.902	46.11999893
381.491	47.20000076
382.080	38.47999954
382.669	50.09999847
383.257	43.88000107
383.846	50.95999908
384.435	46.72000122
385.023	36.34000015
385.612	41.18000031
386.201	54.43999863
386.789	41.18000031
387.378	52.02000046
387.966	44.25999832
388.555	52.11999893
389.143	45.72000122
389.732	56.91999817
390.320	47.52000046
390.908	55.63999939
391.497	47.06000137
392.085	55.25999832
392.673	42.84000015
393.261	72.81999969
393.849	59.38000107
394.438	57.04000092
395.026	45.91999817
395.614	52.04000092
396.202	61.70000076
396.790	52.5
397.378	60.75999832
397.966	64.68000031
398.554	52.43999863
399.142	58.09999847
399.729	53.25999832
400.317	60.13999939
400.905	54.08000183
401.493	50.95999908
402.080	53.15999985
402.668	67.76000214
403.256	65.81999969
403.843	57.58000183
404.431	59.27999878
405.019	65.40000153
405.606	53.06000137
406.194	73.13999939
406.781	76.66000366
407.368	72.69999695
407.956	68.59999847
408.543	62.31999969
409.131	69.63999939
409.718	79.83999634
410.305	72.73999786
410.892	71.23999786
411.479	75.87999725
412.067	66.72000122
412.654	82.08000183
