Talasna duzina_Plava [nm]	 Intenzitet svetlosti_Plava [cd]
177.812	60.47999954
178.410	55.29999924
179.008	40.77999878
179.607	51.45999908
180.205	37.08000183
180.803	47.5
181.401	44.72000122
182.000	58.43999863
182.598	60.29999924
183.196	54.11999893
183.794	48.09999847
184.392	52.27999878
184.990	45.95999908
185.588	55.54000092
186.186	46.74000168
186.784	45.72000122
187.382	51.34000015
187.980	39.74000168
188.578	56.75999832
189.176	45.61999893
189.774	56.22000122
190.371	35.72000122
190.969	35.34000015
191.567	36.65999985
192.165	54.45999908
192.763	57.81999969
193.360	40.68000031
193.958	44.27999878
194.556	39.27999878
195.153	37.95999908
195.751	37.90000153
196.349	43.75999832
196.946	30.31999969
197.544	37.45999908
198.141	38.74000168
198.739	26.04000092
199.336	46.52000046
199.934	33.75999832
200.531	34.38000107
201.128	30.04000092
201.726	30.78000069
202.323	35.63999939
202.920	31.42000008
203.518	41.24000168
204.115	30.34000015
204.712	27.60000038
205.310	24.79999924
205.907	27.92000008
206.504	25.76000023
207.101	27.05999947
207.698	18.76000023
208.295	28.15999985
208.892	22.87999916
209.489	32
210.087	33.34000015
210.684	31.68000031
211.280	30.31999969
211.877	20.44000053
212.474	29.28000069
213.071	25.37999916
213.668	33.04000092
214.265	29.28000069
214.862	33.75999832
215.459	27.94000053
216.055	33.68000031
216.652	17.97999954
217.249	23.23999977
217.846	28.05999947
218.442	31.34000015
219.039	27.54000092
219.636	24.21999931
220.232	33.74000168
220.829	15.85999966
221.425	28.87999916
222.022	30.84000015
222.618	30.84000015
223.215	25.71999931
223.811	30.60000038
224.408	28.5
225.004	31.54000092
225.601	28.86000061
226.197	25.70000076
226.793	22.70000076
227.390	41.47999954
227.986	12.92000008
228.582	30.54000092
229.178	26.45999908
229.774	40.90000153
230.371	22.63999939
230.967	29.05999947
231.563	23.45999908
232.159	28.65999985
232.755	37.74000168
233.351	35.40000153
233.947	20.65999985
234.543	28.57999992
235.139	29.47999954
235.735	22.54000092
236.331	27.89999962
236.927	33.75999832
237.523	26.71999931
238.119	35.06000137
238.714	31.47999954
239.310	32.88000107
239.906	34.65999985
240.502	21.26000023
241.097	25.60000038
241.693	14.92000008
242.289	30.68000031
242.884	34.77999878
243.480	29.79999924
244.076	27.60000038
244.671	18.78000069
245.267	25.29999924
245.862	25.10000038
246.458	32.29999924
247.053	27.89999962
247.648	36.11999893
248.244	21.94000053
248.839	29.23999977
249.435	31.62000084
250.030	31.44000053
250.625	25.15999985
251.220	41.72000122
251.816	24.29999924
252.411	39.59999847
253.006	38.77999878
253.601	31.26000023
254.196	33.65999985
254.791	23.89999962
255.387	36.27999878
255.982	35.54000092
256.577	36.70000076
257.172	31.63999939
257.767	46.29999924
258.362	39.97999954
258.956	37.63999939
259.551	37.63999939
260.146	36.34000015
260.741	35.5
261.336	34.70000076
261.931	26.65999985
262.525	31.44000053
263.120	39.74000168
263.715	38.25999832
264.310	37.25999832
264.904	37.31999969
265.499	39.75999832
266.093	39.31999969
266.688	44.72000122
267.282	38
267.877	40.84000015
268.471	45.91999817
269.066	39.36000061
269.660	34.86000061
270.255	33.43999863
270.849	42.86000061
271.443	43.95999908
272.038	34.41999817
272.632	43.13999939
273.226	46.13999939
273.821	29.70000076
274.415	43.40000153
275.009	40.27999878
275.603	46.56000137
276.197	45.15999985
276.791	43.06000137
277.385	44.25999832
277.979	43.75999832
278.574	45.54000092
279.168	41.56000137
279.761	49.43999863
280.355	34.38000107
280.949	33.27999878
281.543	41.86000061
282.137	37.75999832
282.731	44.79999924
283.325	44.20000076
283.918	33.43999863
284.512	45.22000122
285.106	34.79999924
285.700	29.07999992
286.293	26.15999985
286.887	36.91999817
287.480	29.36000061
288.074	31.45999908
288.668	27.84000015
289.261	23.68000031
289.855	24.79999924
290.448	55.86000061
291.042	34.70000076
291.635	61.68000031
292.228	53.40000153
292.822	49.84000015
293.415	46.18000031
294.008	46.84000015
294.602	43.91999817
295.195	47.41999817
295.788	40.65999985
296.381	50.54000092
296.974	36.54000092
297.567	37.02000046
298.160	36.13999939
298.754	55.40000153
299.347	31.87999916
299.940	40.59999847
300.533	36.70000076
301.126	31.73999977
301.718	44.41999817
302.311	33.72000122
302.904	43.27999878
303.497	46.45999908
304.090	29.36000061
304.683	35.31999969
305.275	39.84000015
305.868	34.38000107
306.461	34.04000092
307.053	42
307.646	45.41999817
308.239	40.88000107
308.831	36.11999893
309.424	38.5
310.016	33.93999863
310.609	36.68000031
311.201	35.74000168
311.794	31.89999962
312.386	33.52000046
312.979	27.21999931
313.571	46.40000153
314.163	35.86000061
314.756	36.47999954
315.348	49.45999908
315.940	33.79999924
316.532	44.56000137
317.124	30.5
317.717	35.15999985
318.309	35.79999924
318.901	32.58000183
319.493	38.41999817
320.085	42.52000046
320.677	32.02000046
321.269	34.04000092
321.861	36.41999817
322.453	48.68000031
323.045	40.27999878
323.636	47.04000092
324.228	44.61999893
324.820	43.27999878
325.412	42.18000031
326.003	38.27999878
326.595	36.40000153
327.187	38.34000015
327.779	35.56000137
328.370	46.81999969
328.962	34.40000153
329.553	40.88000107
330.145	33.06000137
330.736	35.04000092
331.328	24.05999947
331.919	43.31999969
332.511	35.95999908
333.102	35.04000092
333.693	33.22000122
334.285	35.45999908
334.876	40.68000031
335.467	38.09999847
336.058	30.5
336.650	46.34000015
337.241	32.88000107
337.832	26.95999908
338.423	30.31999969
339.014	42.22000122
339.605	16.73999977
340.196	33.43999863
340.787	33.77999878
341.378	28.94000053
341.969	16.52000046
342.560	41.11999893
343.151	34.25999832
343.742	34.08000183
344.332	36.91999817
344.923	31.57999992
345.514	21.70000076
346.105	22.26000023
346.695	27.15999985
347.286	32.65999985
347.877	27.34000015
348.467	37.72000122
349.058	27.65999985
349.648	25.10000038
350.239	25.63999939
350.829	30.10000038
351.420	30.52000046
352.010	37.25999832
352.601	22.04000092
353.191	26.12000084
353.781	28.78000069
354.371	17.28000069
354.962	32.74000168
355.552	34.29999924
356.142	21.86000061
356.732	27.04000092
357.322	33.70000076
357.913	28.36000061
358.503	31.52000046
359.093	36.38000107
359.683	38.11999893
360.273	28.68000031
360.863	27.42000008
361.453	32.15999985
362.042	24.13999939
362.632	29.84000015
363.222	21.86000061
363.812	29.55999947
364.402	40.11999893
364.991	18.70000076
365.581	24
366.171	35.08000183
366.760	26.34000015
367.350	22.39999962
367.940	23.15999985
368.529	14.80000019
369.119	30.95999908
369.708	35.61999893
370.298	25.65999985
370.887	32.54000092
371.476	24.81999969
372.066	30.92000008
372.655	28.97999954
373.244	26.68000031
373.834	26.05999947
374.423	30.92000008
375.012	37.27999878
375.601	29.86000061
376.190	33.43999863
376.779	36.41999817
377.368	26.34000015
377.957	33.27999878
378.546	29.97999954
379.135	29.44000053
379.724	30.78000069
380.313	30.52000046
380.902	23.94000053
381.491	44.18000031
382.080	32.54000092
382.669	40.06000137
383.257	24.60000038
383.846	30.42000008
384.435	35.09999847
385.023	33.54000092
385.612	27.21999931
386.201	42.09999847
386.789	40.84000015
387.378	33.70000076
387.966	23.65999985
388.555	29.28000069
389.143	31.57999992
389.732	35.90000153
390.320	34.06000137
390.908	42.27999878
391.497	24.34000015
392.085	29.73999977
392.673	31.36000061
393.261	31.13999939
393.849	39.75999832
394.438	31.79999924
395.026	40.24000168
395.614	38.59999847
396.202	24.95999908
396.790	33.47999954
397.378	38.41999817
397.966	30.45999908
398.554	42.93999863
399.142	40.95999908
399.729	43.52000046
400.317	33.95999908
400.905	36.41999817
401.493	38
402.080	48.09999847
402.668	50.68000031
403.256	45.95999908
403.843	40.93999863
404.431	46.90000153
405.019	51.52000046
405.606	56.13999939
406.194	46.27999878
406.781	60.47999954
407.368	48.27999878
407.956	48.59999847
408.543	61.47999954
409.131	55.09999847
409.718	50.43999863
410.305	58.52000046
410.892	66.66000366
411.479	54.91999817
412.067	70.69999695
412.654	52.95999908
413.241	57.5
413.828	53.84000015
414.415	68.55999756
415.002	62.11999893
415.589	67.33999634
416.176	84.45999908
416.763	85.59999847
417.350	67.59999847
417.936	87.48000336
418.523	88.45999908
419.110	85.22000122
419.697	96.58000183
420.283	96.33999634
420.870	106.4599991
421.457	100.6800003
422.043	111.8399963
422.630	133.4799957
423.216	137.3800049
423.803	146.0800018
424.389	149.0200043
424.976	169.9400024
425.562	187.7200012
426.148	211.6199951
426.735	214.1600037
427.321	222.1199951
427.907	240.1600037
428.494	264.019989
429.080	302.6799927
429.666	334.9599915
430.252	334.3599854
430.838	364.5799866
431.424	407.3599854
432.010	456.6600037
432.596	492.2000122
433.182	563.4000244
433.768	605.0599976
434.354	669.4199829
434.940	739.5599976
435.526	794.4199829
436.111	873.5599976
436.697	1010.599976
437.283	1073.079956
437.869	1167.199951
438.454	1289.420044
439.040	1415
439.625	1566.680054
440.211	1697.560059
440.796	1890.160034
441.382	2092.02002
441.967	2236.300049
442.553	2475.879883
443.138	2755.360107
443.723	2992.899902
444.309	3264.179932
444.894	3556.939941
445.479	3968.280029
446.064	4332.439941
446.650	4788.259766
447.235	5165.299805
447.820	5648.459961
448.405	6158.799805
448.990	6718.640137
449.575	7356.839844
450.160	8102.080078
450.745	8923.639648
451.330	9689.44043
451.915	10716.12012
452.499	11645.90039
453.084	12925.21973
453.669	14124.54004
454.254	15458.7002
454.838	16886.83984
455.423	18840.56055
456.008	20436.35938
456.592	22557.51953
457.177	24755.88086
457.761	26759.98047
458.346	29462.59961
458.930	31582.93945
459.514	34536.30078
460.099	36865.10156
460.683	40154.48047
461.267	42844.10156
461.852	45577.48047
462.436	48039.78125
463.020	50001.26172
463.604	52429.48047
464.188	54454.94141
464.772	55744.96094
465.356	56698.67969
465.940	57865.37891
466.524	58162.44141
467.108	58431.64063
467.692	58606.87891
468.276	57979.14063
468.860	57007.67969
469.444	56159.28125
470.028	54845.66016
470.611	52773.85938
471.195	51189.33984
471.779	49264.78125
472.362	47468.21875
472.946	44876.14063
473.529	42654.32031
474.113	40429.28125
474.696	38127.16016
475.280	36066.53906
475.863	34102.85938
476.447	32175.19922
477.030	30544.90039
477.613	28924.53906
478.197	27491.14063
478.780	26016.51953
479.363	24904.53906
479.946	23594.80078
480.529	22447.16016
481.112	21575.30078
481.695	20562.58008
482.278	19480.64063
482.861	18561.25977
483.444	17700.14063
484.027	16801.08008
484.610	15951.40039
485.193	15089.54004
485.776	14224.83984
486.358	13318.12012
486.941	12604.58008
487.524	11813.32031
488.106	11025.66016
488.689	10316.59961
489.272	9635.519531
489.854	9005.740234
490.437	8385.360352
491.019	7773.52002
491.602	7249.5
492.184	6729.939941
492.766	6305.5
493.349	5884.580078
493.931	5506.279785
494.513	5148.160156
495.095	4808.160156
495.678	4550.100098
496.260	4206.600098
496.842	3991.419922
497.424	3768.139893
498.006	3523.02002
498.588	3334.280029
499.170	3158.97998
499.752	3002.399902
500.334	2829.860107
500.916	2668.899902
501.497	2530.600098
502.079	2389.23999
502.661	2277.73999
503.243	2166.719971
503.824	2020.380005
504.406	1914.040039
504.987	1803.959961
505.569	1691.579956
506.151	1619.97998
506.732	1536.97998
507.313	1418.119995
507.895	1356.459961
508.476	1271.76001
509.058	1204.640015
509.639	1133.560059
510.220	1076.119995
510.801	1017.200012
511.382	952.0999756
511.964	928.1400146
512.545	858.2199707
513.126	842.5200195
513.707	801.7199707
514.288	755.460022
514.869	737.9799805
515.450	706.2199707
516.031	668.2000122
516.611	643.8400269
517.192	630.0999756
517.773	594.9799805
518.354	578.7199707
518.934	545.7600098
519.515	534.2600098
520.096	517.6400146
520.676	506.2799988
521.257	470.6400146
521.837	476.1199951
522.418	459.3599854
522.998	439.3599854
523.579	415.8200073
524.159	413.1000061
524.739	403.6400146
525.320	391.3399963
525.900	377.1199951
526.480	369.019989
527.060	360.5799866
527.640	346.8599854
528.220	318.7600098
528.800	327.7399902
529.380	321.0799866
529.960	315.3599854
530.540	279.6400146
531.120	289.8399963
531.700	279.2799988
532.280	283.6400146
532.860	257.0599976
533.440	275.3200073
534.019	250.3200073
534.599	252.8800049
535.179	239.2200012
535.758	248.7599945
536.338	251.9600067
536.917	224.9799957
537.497	229.2200012
538.076	226.6799927
538.656	216.1199951
539.235	221.5800018
539.814	206.0200043
540.393	212.9400024
540.973	211.3600006
541.552	213.4400024
542.131	201.3200073
542.710	202.1600037
