Talasna duzina_Tirkizna [nm]	 Intenzitet svetlosti_Tirkizna [cd]
177.812	113.2600021
178.410	105.7799988
179.008	115.0599976
179.607	117.4000015
180.205	119
180.803	94.26000214
181.401	111.4000015
182.000	114.4000015
182.598	110.6999969
183.196	111.4000015
183.794	109.0400009
184.392	113.1200027
184.990	110.2399979
185.588	103.5400009
186.186	116.7799988
186.784	114.4000015
187.382	122.8399963
187.980	106.6399994
188.578	110.6600037
189.176	108.0599976
189.774	101.6999969
190.371	95.54000092
190.969	103.2799988
191.567	109.7200012
192.165	107.7600021
192.763	102.3199997
193.360	106.9800034
193.958	107.8199997
194.556	100.5599976
195.153	103.1399994
195.751	102.3199997
196.349	107.7399979
196.946	111.4400024
197.544	108.7200012
198.141	101.7600021
198.739	100.5599976
199.336	105.1800003
199.934	104.7399979
200.531	107.7399979
201.128	96.23999786
201.726	101.0599976
202.323	110.5199966
202.920	107.4599991
203.518	102.2200012
204.115	94.37999725
204.712	89.48000336
205.310	92.37999725
205.907	99.81999969
206.504	95.45999908
207.101	92
207.698	96.12000275
208.295	87.94000244
208.892	94.01999664
209.489	83.83999634
210.087	92.62000275
210.684	87.66000366
211.280	89.18000031
211.877	71.62000275
212.474	96.45999908
213.071	84.63999939
213.668	95.77999878
214.265	77.12000275
214.862	86.91999817
215.459	84.59999847
216.055	80.73999786
216.652	90.05999756
217.249	77.90000153
217.846	80.55999756
218.442	82.44000244
219.039	83.05999756
219.636	82.73999786
220.232	89.16000366
220.829	74.98000336
221.425	82.77999878
222.022	100.0999985
222.618	83.98000336
223.215	93.55999756
223.811	77.98000336
224.408	82.66000366
225.004	86.22000122
225.601	83.19999695
226.197	88.59999847
226.793	80.44000244
227.390	78.55999756
227.986	74.76000214
228.582	88.72000122
229.178	88.37999725
229.774	93.12000275
230.371	87.33999634
230.967	78.68000031
231.563	84.09999847
232.159	79.37999725
232.755	74.86000061
233.351	79.26000214
233.947	86.40000153
234.543	78.22000122
235.139	77.41999817
235.735	67.05999756
236.331	83.45999908
236.927	78.81999969
237.523	82.08000183
238.119	85.51999664
238.714	75.58000183
239.310	84.59999847
239.906	76.01999664
240.502	82.86000061
241.097	73.40000153
241.693	89.5
242.289	83.05999756
242.884	80.26000214
243.480	88.5
244.076	81.83999634
244.671	82.73999786
245.267	83.22000122
245.862	86.73999786
246.458	77.01999664
247.053	79.98000336
247.648	96.81999969
248.244	74.51999664
248.839	82.72000122
249.435	75.36000061
250.030	71.69999695
250.625	75.5
251.220	65.19999695
251.816	81.19999695
252.411	75.66000366
253.006	80.69999695
253.601	82.09999847
254.196	74.91999817
254.791	83.66000366
255.387	91.40000153
255.982	69.44000244
256.577	83.72000122
257.172	84.31999969
257.767	89.51999664
258.362	79.05999756
258.956	85.33999634
259.551	92.45999908
260.146	69.48000336
260.741	84.18000031
261.336	87.13999939
261.931	80.91999817
262.525	86.81999969
263.120	91.12000275
263.715	91.77999878
264.310	87.37999725
264.904	86.94000244
265.499	87.81999969
266.093	78.41999817
266.688	91.48000336
267.282	82.86000061
267.877	79.13999939
268.471	92.22000122
269.066	79.66000366
269.660	81.62000275
270.255	77.94000244
270.849	89.95999908
271.443	72.51999664
272.038	89.18000031
272.632	88.80000305
273.226	79.73999786
273.821	77.37999725
274.415	89.59999847
275.009	89.09999847
275.603	76.48000336
276.197	81.80000305
276.791	88.41999817
277.385	81.30000305
277.979	77.37999725
278.574	69.30000305
279.168	67.55999756
279.761	65.04000092
280.355	63
280.949	56.02000046
281.543	61.29999924
282.137	51.93999863
282.731	69.80000305
283.325	74.98000336
283.918	82.01999664
284.512	113.6800003
285.106	114.1600037
285.700	112.8199997
286.293	122.7399979
286.887	126.0599976
287.480	108.4400024
288.074	91.66000366
288.668	103.4599991
289.261	88.45999908
289.855	94.68000031
290.448	90.27999878
291.042	98.86000061
291.635	97.30000305
292.228	93.09999847
292.822	94.44000244
293.415	93.01999664
294.008	86.12000275
294.602	84.94000244
295.195	95.36000061
295.788	98.30000305
296.381	75.09999847
296.974	94
297.567	95.94000244
298.160	103.2200012
298.754	85.66000366
299.347	97.58000183
299.940	92.12000275
300.533	99.33999634
301.126	94.30000305
301.718	90.31999969
302.311	100.6399994
302.904	96.09999847
303.497	92.95999908
304.090	106.8799973
304.683	89.08000183
305.275	93.94000244
305.868	93.51999664
306.461	90.87999725
307.053	83.48000336
307.646	97.81999969
308.239	97.95999908
308.831	96.81999969
309.424	101.1800003
310.016	90.08000183
310.609	99.45999908
311.201	100.0400009
311.794	106.5199966
312.386	100.9199982
312.979	103.1999969
313.571	100.4400024
314.163	93.45999908
314.756	109.4000015
315.348	107.8799973
315.940	99.16000366
316.532	101.8600006
317.124	101.3600006
317.717	106.5599976
318.309	106.1399994
318.901	107.9000015
319.493	107.2799988
320.085	100.4000015
320.677	101.3799973
321.269	112.6999969
321.861	109.0999985
322.453	111.9800034
323.045	100.1999969
323.636	103.0199966
324.228	107.9400024
324.820	119.9400024
325.412	103.5400009
326.003	110.9400024
326.595	107.5599976
327.187	98.04000092
327.779	111.2399979
328.370	131.8600006
328.962	100.8199997
329.553	109.8799973
330.145	108.3199997
330.736	113.0599976
331.328	115.5199966
331.919	105.6399994
332.511	118.5199966
333.102	105.5599976
333.693	104.8399963
334.285	104.1200027
334.876	101.2200012
335.467	100.9800034
336.058	111.7399979
336.650	111.1399994
337.241	116.0800018
337.832	102.4800034
338.423	116.8399963
339.014	107.0999985
339.605	102.8600006
340.196	114.4400024
340.787	109.5800018
341.378	121.5599976
341.969	118.6200027
342.560	107.7799988
343.151	109.7399979
343.742	113.3799973
344.332	111.9199982
344.923	116.9800034
345.514	120.2200012
346.105	119.3000031
346.695	114.0800018
347.286	118.6600037
347.877	117.1800003
348.467	109.4000015
349.058	107.9400024
349.648	109.6200027
350.239	110.5
350.829	120.4800034
351.420	113.8199997
352.010	109.7200012
352.601	114.8600006
353.191	119.4599991
353.781	125.1999969
