Talasna duzina_Zuta [nm]	 Intenzitet svetlosti_Zuta [cd]
177.812	119.6399994
178.410	116.8600006
179.008	124.4000015
179.607	123.1600037
180.205	119.1800003
180.803	112
181.401	123.6399994
182.000	117.3199997
182.598	126.6600037
183.196	120.5400009
183.794	114.3600006
184.392	128.2599945
184.990	121.9000015
185.588	117.5400009
186.186	122.5400009
186.784	129.7200012
187.382	119.7600021
187.980	114.5199966
188.578	122.2600021
189.176	121.8199997
189.774	111.1600037
190.371	114.5400009
190.969	119.9400024
191.567	127.5199966
192.165	104.1600037
192.763	129.1799927
193.360	126.1800003
193.958	124.2200012
194.556	115.4599991
195.153	123.3600006
195.751	132.1199951
196.349	114.6399994
196.946	130.7400055
197.544	121.7799988
198.141	121.0999985
198.739	123.8399963
199.336	128.0200043
199.934	117.5199966
200.531	122.4000015
201.128	114.4800034
201.726	116.9199982
202.323	121.5999985
202.920	113.2200012
203.518	115.1800003
204.115	115.8600006
204.712	109.6600037
205.310	102.4000015
205.907	111.4599991
206.504	111.7600021
207.101	115.8399963
207.698	111.6200027
208.295	102.6800003
208.892	102.9599991
209.489	110.1999969
210.087	113.3600006
210.684	111.9199982
211.280	105.8000031
211.877	113.2799988
212.474	108.9400024
213.071	112.5199966
213.668	108.3000031
214.265	102.3600006
214.862	104.1399994
215.459	95.13999939
216.055	100.3199997
216.652	101.4800034
217.249	106.4400024
217.846	98.30000305
218.442	109.4400024
219.039	108.8600006
219.636	108.5999985
220.232	93.33999634
220.829	98.94000244
221.425	112.7399979
222.022	99.5
222.618	106.1200027
223.215	100.0599976
223.811	102.9800034
224.408	101.7799988
225.004	106.0599976
225.601	93
226.197	110.1399994
226.793	105.8000031
227.390	98.08000183
227.986	90.76000214
228.582	101.6999969
229.178	93.73999786
229.774	105.6399994
230.371	101.0800018
230.967	102.1999969
231.563	100.7399979
232.159	92.04000092
232.755	104.5199966
233.351	99.95999908
233.947	91.54000092
234.543	106.5599976
235.139	97.33999634
235.735	94.31999969
236.331	98.98000336
236.927	89.98000336
237.523	86.08000183
238.119	100.6200027
238.714	87.59999847
239.310	94.33999634
239.906	95.40000153
240.502	106.2200012
241.097	97.40000153
241.693	90.36000061
242.289	89.31999969
242.884	98.01999664
243.480	80.51999664
244.076	93.23999786
244.671	109.9599991
245.267	101.2600021
245.862	95.69999695
246.458	107.9199982
247.053	83.72000122
247.648	100.4199982
248.244	94.16000366
248.839	94.83999634
249.435	100.8799973
250.030	94.01999664
250.625	87.81999969
251.220	97.98000336
251.816	78.83999634
252.411	84.59999847
253.006	91.27999878
253.601	89.04000092
254.196	91.40000153
254.791	91.22000122
255.387	99.27999878
255.982	84.95999908
256.577	89.66000366
257.172	88.22000122
257.767	91.16000366
258.362	101.7600021
258.956	80.40000153
259.551	86.58000183
260.146	83.83999634
260.741	85.62000275
261.336	87.13999939
261.931	98.81999969
262.525	84.36000061
263.120	93.63999939
263.715	93.95999908
264.310	95.76000214
264.904	90.16000366
265.499	88.40000153
266.093	90.23999786
266.688	86.33999634
267.282	88.94000244
267.877	95.72000122
268.471	84.05999756
269.066	80.18000031
269.660	67.98000336
270.255	75.44000244
270.849	62.81999969
271.443	73.16000366
272.038	79.36000061
272.632	85.95999908
273.226	94.77999878
273.821	117.2399979
274.415	110.1800003
275.009	110.4400024
275.603	96.68000031
276.197	97.87999725
276.791	97.08000183
277.385	91.37999725
277.979	86.77999878
278.574	83.81999969
279.168	82.69999695
279.761	80.95999908
280.355	68.83999634
280.949	66.81999969
281.543	77.22000122
282.137	72.37999725
282.731	78.48000336
283.325	84.83999634
283.918	93.94000244
284.512	104.8799973
285.106	111.1800003
285.700	120.1600037
286.293	114.1200027
286.887	122.1800003
287.480	103.1600037
288.074	105
288.668	89.45999908
289.261	94.16000366
289.855	109.1399994
290.448	91.83999634
291.042	93.51999664
291.635	97.31999969
292.228	98.01999664
292.822	103.5999985
293.415	96.51999664
294.008	92.94000244
294.602	85.95999908
295.195	90.40000153
295.788	85.87999725
296.381	91.51999664
296.974	97.22000122
297.567	106.3799973
298.160	104.9199982
298.754	115.5999985
299.347	101.9000015
299.940	98.73999786
300.533	96.18000031
301.126	95.01999664
301.718	103.7399979
302.311	102.7799988
302.904	90.08000183
303.497	97.80000305
304.090	81.69999695
304.683	102.8000031
305.275	105.1999969
305.868	96.41999817
306.461	101.6999969
307.053	104.4599991
307.646	101.7399979
308.239	102.0599976
308.831	103.7200012
309.424	93.22000122
310.016	96.31999969
310.609	103.2799988
311.201	94.09999847
311.794	96.91999817
312.386	98.5
312.979	98.04000092
313.571	103.6399994
314.163	109.1399994
314.756	113.6200027
315.348	114.3799973
315.940	91.19999695
316.532	117.3600006
317.124	101.6999969
317.717	110.9800034
318.309	104.2200012
318.901	102.6600037
319.493	96.87999725
320.085	113.2399979
320.677	106.0599976
321.269	106.6999969
321.861	101.4000015
322.453	111.1399994
323.045	115.8799973
323.636	116.5400009
324.228	98.69999695
324.820	98.77999878
325.412	111.1200027
326.003	112.1999969
326.595	98.05999756
327.187	106.9800034
327.779	104.7600021
328.370	120.8799973
328.962	112.6800003
329.553	109.6800003
330.145	110.4599991
330.736	98.63999939
331.328	106.6399994
331.919	110.6600037
332.511	103.1600037
333.102	114.1200027
333.693	103.3799973
334.285	116.6800003
334.876	115.5800018
335.467	103.4599991
336.058	110.3600006
336.650	109
337.241	114.0999985
337.832	109.3199997
338.423	106.7200012
339.014	95.51999664
339.605	105.6600037
340.196	108
340.787	115.3799973
341.378	104.8799973
341.969	116.9599991
342.560	114.2200012
343.151	114.0800018
343.742	110.9000015
344.332	105.0199966
344.923	108.3799973
345.514	106.1800003
346.105	117.5800018
346.695	105.6999969
347.286	111.3399963
347.877	115.8799973
348.467	107.2600021
349.058	116.1399994
349.648	107.5999985
350.239	115.3000031
350.829	107.5400009
351.420	110.4199982
352.010	114.7200012
352.601	105.0800018
353.191	112.9800034
353.781	102.4800034
354.371	108.7200012
354.962	99.81999969
355.552	107.4599991
356.142	112.5400009
356.732	106.2799988
357.322	117.6200027
357.913	107.4000015
358.503	109.3399963
359.093	114.6600037
359.683	115.9800034
360.273	99.54000092
360.863	104.9599991
361.453	129.3800049
362.042	110.7399979
362.632	113.7399979
363.222	110.6200027
363.812	98.41999817
364.402	98.72000122
364.991	113.3600006
365.581	107.6800003
366.171	114.5
366.760	115.0999985
367.350	105.1399994
367.940	106.0999985
368.529	103.4000015
369.119	102.1200027
369.708	100.5999985
370.298	110.3399963
370.887	104.8000031
371.476	107.9199982
372.066	110.3000031
372.655	106
373.244	105.9400024
373.834	100.2799988
374.423	96.37999725
